collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
13307	"n. gen."	Lectavis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307		Elbretornis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307	"n. gen."	Yungavolucris			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307		Martinavis			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307	"n. gen."	Noasaurus			11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13307		Martinavis		Aves	11730	Argentina	Salta	Candelaria	-26.066667	-65.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
13309	"n. gen."	Neogaeornis			6052	Chile	Concepcíon		-36.716667	-73.116667	Cretaceous		83.500	65.000
13312	"n. gen."	Alexornis			6054	Mexico	"Baja California del Norte"		30.050000	-115.733333	Cretaceous	"Cretaceous 7"	83.500	70.600
13326		Massospondylus			4425	"South Africa"	"Orange Free State"		-28.509444	28.623056	Jurassic	"Jurassic 1"	199.600	189.600
13326		Massospondylus		Dinosauria	4425	"South Africa"	"Orange Free State"		-28.509444	28.623056	Jurassic	"Jurassic 1"	199.600	189.600
13331		Megaloolithus			36723	Spain	Cataluna	Lleida	42.116667	-1.05	Cretaceous	"Cretaceous 7"	83.500	70.600
13333	"n. gen."	Amargasaurus		Dicraeosauridae	16627	Argentina	Neuquén	"Picún Leufú"	-39.481979	-70.194785	Cretaceous		130.000	112.000
13334		Telmatosaurus		Dinosauria	5971	Romania	Hunedoara		45.603614	22.845143	Cretaceous	"Cretaceous 8"	70.600	65.000
13334		Zalmoxes			5971	Romania	Hunedoara		45.603614	22.845143	Cretaceous	"Cretaceous 8"	70.600	65.000
13334		Balaur		Theropoda	5971	Romania	Hunedoara		45.603614	22.845143	Cretaceous	"Cretaceous 8"	70.600	65.000
13334		Zalmoxes			5971	Romania	Hunedoara		45.603614	22.845143	Cretaceous	"Cretaceous 8"	70.600	65.000
13335	"n. gen."	Eurolimnornis			14865	Romania	"Judetul Bihor"	Oradea	46.950000	22.400000	Cretaceous	"Cretaceous 1"	145.500	140.200
13335		Mantellisaurus		Iguanodon	14865	Romania	"Judetul Bihor"	Oradea	46.950000	22.400000	Cretaceous	"Cretaceous 1"	145.500	140.200
13335		Iguanodon			14865	Romania	"Judetul Bihor"	Oradea	46.950000	22.400000	Cretaceous	"Cretaceous 1"	145.500	140.200
13335		Valdosaurus		Valdosaurus	14865	Romania	"Judetul Bihor"	Oradea	46.950000	22.400000	Cretaceous	"Cretaceous 1"	145.500	140.200
13335		Mantellisaurus		Vectisaurus	14865	Romania	"Judetul Bihor"	Oradea	46.950000	22.400000	Cretaceous	"Cretaceous 1"	145.500	140.200
13335		Hypsilophodon		Thescelosaurus	14865	Romania	"Judetul Bihor"	Oradea	46.950000	22.400000	Cretaceous	"Cretaceous 1"	145.500	140.200
13339		Styracosaurus		Monoclonius	5980	Canada	Alberta		50.742213	-111.565779	Cretaceous	"Cretaceous 7"	90.4	90.2
13340		Centrosaurus		Monoclonius	5980	Canada	Alberta		50.73	-111.8	Cretaceous	"Cretaceous 7"	89.1	81.9
